period,units_sold,country,device_model
2023-01,1200,DE,CardioStent-X
2023-01,800,FR,CardioStent-X
2023-01,600,IT,CardioStent-X
2023-02,1250,DE,CardioStent-X
2023-02,850,FR,CardioStent-X
2023-02,620,IT,CardioStent-X
2023-03,1300,DE,CardioStent-X
2023-03,900,FR,CardioStent-X
2023-03,650,IT,CardioStent-X
2023-04,1280,DE,CardioStent-X
2023-04,870,FR,CardioStent-X
2023-04,630,IT,CardioStent-X
2023-05,1350,DE,CardioStent-X
2023-05,920,FR,CardioStent-X
2023-05,670,IT,CardioStent-X
2023-06,1320,DE,CardioStent-X
2023-06,890,FR,CardioStent-X
2023-06,660,IT,CardioStent-X
2023-07,1400,DE,CardioStent-X
2023-07,950,FR,CardioStent-X
2023-07,700,IT,CardioStent-X
2023-08,1380,DE,CardioStent-X
2023-08,930,FR,CardioStent-X
2023-08,690,IT,CardioStent-X
2023-09,1360,DE,CardioStent-X
2023-09,910,FR,CardioStent-X
2023-09,680,IT,CardioStent-X
2023-10,1420,DE,CardioStent-X
2023-10,960,FR,CardioStent-X
2023-10,710,IT,CardioStent-X
2023-11,1390,DE,CardioStent-X
2023-11,940,FR,CardioStent-X
2023-11,700,IT,CardioStent-X
2023-12,1450,DE,CardioStent-X
2023-12,980,FR,CardioStent-X
2023-12,720,IT,CardioStent-X
